ID	NQO1	HO1	GCLC	NRF2	TNFalpha	IL10	IFNg	IL4	IL17	JAM-A	Occludin	ZO1	Cingulin	Organ	Condition	Match
CT_CD_10	1.962684	2.778927	1.479006	2.553769	1.173915	1.563553	0.6932766	0.09040229	0.05771652	1.670671	1.536692	4.512191	1.747543	Dist. Colon	Control	CT_CD
CT_CD_11	2.714767	2.726458	2.947778	3.054906	1.545237	2.674609	1.025625	0.06419048	0.1570317	2.971987	2.239735	3.263292	2.288382	Dist. Colon	Control	CT_CD
CT_CD_12	1.915642	3.896093	2.08584	2.563524	8.937232	6.37457	38.2133	0.4086685	0.7288168	2.892723	2.093371	4.482576	3.030022	Dist. Colon	Control	CT_CD
ST_CD_1	1.762139	4.071409	2.50642	2.451438	1.283718	1.970864	0.1981965	0.002744013	0.06525029	2.328544	3.008049	4.86631	2.621383	Dist. Colon	WAS	WAS_CD
ST_CD_2	1.850388	4.887268	2.259695	1.691295	1.925627	2.224264	0.3204127	0.001863206	0.002454471	2.487037	2.72608	5.078238	2.585294	Dist. Colon	WAS	WAS_CD
ST_CD_3	2.731755	4.439903	3.597833	3.296941	1.931643	2.458585	0.3492914	0.3618599	0.09056693	3.459175	4.397941	6.901108	3.247497	Dist. Colon	WAS	WAS_CD
ST_CD_4	4.143437	5.396515	3.943914	4.342808	2.718533	3.571	0.3855535	0.4342215	0.1717198	4.198658	3.265555	4.997921	5.122429	Dist. Colon	WAS	WAS_CD
ST_CD_5	3.718777	5.404002	3.115855	4.557138	2.555008	3.115207	0.732552	1.16959	0.003809	3.965295	4.131965	6.392269	5.99113	Dist. Colon	WAS	WAS_CD
ST_CD_6	3.026873	4.998614	2.706875	3.191264	1.956572	3.024776	0.3193041	0.002746868	0.2292714	3.45199	4.579938	4.460879	3.489035	Dist. Colon	WAS	WAS_CD
ST_CD_7	2.672756	4.553665	3.877504	4.942113	20.73258	14.70085	22.25416	0.3321722	0.7293221	5.441212	4.970284	9.388066	6.956338	Dist. Colon	WAS	WAS_CD
ST_CD_8	3.849919	4.934925	5.045958	6.069712	4.457788	7.292068	0.3136012	0.2983346	0.1345886	4.246953	5.827302	7.029042	6.121258	Dist. Colon	WAS	WAS_CD
ST_CD_9	2.858638	4.167055	3.737641	4.896083	1.350813	4.736522	0.2895738	0.247329	0.1246218	2.953505	3.005965	6.341517	5.609329	Dist. Colon	WAS	WAS_CD
ST_CD_10	2.702563	4.174282	4.023994	5.123494	3.107659	4.507502	0.9629302	0.2896742	0.1519984	3.879654	3.585882	4.900157	5.673851	Dist. Colon	WAS	WAS_CD
ST_CD_11	2.141806	3.861143	3.381417	4.090077	3.069126	7.567559	0.8675405	0.3994268	0.4439989	2.868762	2.802721	4.55619	5.867834	Dist. Colon	WAS	WAS_CD
ST_CD_12	3.118448	4.860242	4.023994	3.710537	3.571	3.153225	0.4784709	0.2971994	0.003351745	2.775847	3.191707	4.954804	4.754613	Dist. Colon	WAS	WAS_CD
